Mes/Ano,Alemanha,Estonia,Finlandia,Grecia,Suecia
Jan/2020,1.6,1.6,1.2,1.1,1.5
Fev/2020,1.7,2.0,1.1,0.4,1.3
Mar/2020,1.3,1.0,0.9,0.2,0.8
Abr/2020,0.8,-0.9,-0.3,-0.9,-0.2
Mai/2020,0.5,-1.8,-0.1,-0.7,0.1
Jun/2020,0.8,-1.6,0.1,-1.9,0.9
Jul/2020,0.0,-1.3,0.7,-2.1,0.7
Ago/2020,-0.1,-1.3,0.3,-2.3,1.0
Set/2020,-0.4,-1.3,0.3,-2.3,0.6
Out/2020,-0.5,-1.7,0.2,-2.0,0.4
Nov/2020,-0.7,-1.2,0.2,-2.1,0.2
Dez/2020,-0.7,-0.9,0.2,-2.4,0.6
Jan/2021,1.6,0.3,1.0,-2.4,1.9
Fev/2021,1.6,0.5,0.9,-1.9,1.8
Mar/2021,2.0,0.9,1.4,-2.0,2.1
Abr/2021,2.1,1.6,2.2,-1.1,2.8
Mai/2021,2.4,3.2,2.3,-1.2,2.4
Jun/2021,2.1,3.7,1.9,0.6,1.8
Jul/2021,3.1,4.9,1.8,0.7,1.8
Ago/2021,3.4,5.0,1.8,1.2,2.5
Set/2021,4.1,6.4,2.1,1.9,3.0
Out/2021,4.6,6.8,2.8,2.8,3.3
Nov/2021,6.0,8.6,3.5,4.0,3.9
Dez/2021,5.7,12.0,3.2,4.4,4.5
Jan/2022,5.1,11.0,4.1,5.5,3.9
Fev/2022,5.5,11.6,4.4,6.3,4.4
Mar/2022,7.6,14.8,5.8,8.0,6.3
Abr/2022,7.8,19.1,5.8,9.1,6.6
Mai/2022,8.7,20.1,7.1,10.5,7.5
Jun/2022,8.2,22.0,8.1,11.6,8.9
Jul/2022,8.5,23.2,8.0,11.3,8.3
Ago/2022,8.8,25.2,7.9,11.2,9.5
Set/2022,10.9,24.1,8.4,12.1,10.3
Out/2022,11.6,22.5,8.4,9.5,9.8
Nov/2022,11.3,21.4,9.1,8.8,10.1
Dez/2022,9.6,17.5,8.8,7.6,10.8
Jan/2023,9.2,18.6,7.9,7.3,9.6
Fev/2023,9.3,17.8,8.0,6.5,9.7
Mar/2023,7.8,15.6,6.7,5.4,8.1
Abr/2023,7.6,13.2,6.3,4.5,7.7
Mai/2023,6.3,11.2,5.0,4.1,6.7
Jun/2023,6.8,9.0,4.1,2.8,6.3
Jul/2023,6.5,6.2,4.2,3.5,6.3
Ago/2023,6.4,4.3,3.1,3.5,4.5
Set/2023,4.3,3.9,3.0,2.4,3.7
Out/2023,3.0,5.0,2.4,3.8,4.0
Nov/2023,2.3,4.1,0.7,2.9,3.3
Dez/2023,3.8,4.3,1.3,3.7,1.9
